,date,title,links,description
62,21.07.06,"[단독] 포항시장 만나 ""후원 부탁""…소개한 기자 내사","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006382163"",""링크"")",다음은 사업가 행세를 하며 로비 행각을 벌인 사기 피의자 김 모 씨 소식입니다. 저희 취재 결과 김 씨는 경북 포항시로부터 후원금을 받기 위해서…
63,21.07.06,"[단독] ""창살 없는 감옥""…마지막 면담서 극심한 고통","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006382150"",""링크"")","한편 공군 성추행 사망 사건 관련해 피해 중사가 극단적인 선택을 하기 며칠 전, 외부 상담 기관과 면담한 기록을 저희 취재진이 입수했습니다. 거…"
64,21.07.06,"[단독] 수산업자, 기자 소개로 포항시장 만나 ""지원 부탁""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006382192"",""링크"")",수산업자 김 모 씨가 자신이 회장으로 있던 농구 단체 및 대회 지원을 요청하기 위해 일간지 기자를 통해 포항시장을 만난 것으로 확인됐습니다. 이…
65,21.07.06,"[단독] 마지막 면담 기록 입수…""창살 없는 감옥 같았다""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006382108"",""링크"")",공군 성추행 사망 사건 피해자인 A 중사가 극단적 선택을 하기 전 외부 상담기관과의 면담 기록을 SBS가 입수했습니다. 오늘 SBS 8뉴스에서 …
66,21.07.05,[단독] 중앙선 넘나들며 만취 질주…체포에도 '측정 거부',"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006380442"",""링크"")",서울 한복판에서 만취 상태로 차량을 몰면서 중앙선을 넘나들던 남성이 경찰의 음주측정을 거부하다가 현행범 체포됐습니다. 서울 광진경찰서는 도로교통…
67,21.07.03,"[단독] 만취 변호사, 강남 한복판서 경찰관 폭행","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006378593"",""링크"")",강남 한복판에서 술에 취해 행패를 부린 변호사가 신고를 받고 출동한 경찰관을 폭행하고 순찰차량까지 부순 혐의로 경찰에 붙잡혔습니다. 서울 강남경…
68,21.07.02,"[단독] 겉으론 잘 지낸 형제…경찰, 부모 유산 40억 주목","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006378098"",""링크"")",방금 보신 형제의 부모는 4년 전 40억 원의 재산을 남기고 세상을 떠났습니다. 경찰은 이 유산 문제가 동생의 죽음과 관계가 있을 것으로 보고 …
69,21.07.02,"[단독] ""동생 실종됐다""…신고한 형의 수상한 행적","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006378097"",""링크"")","지적장애가 있는 동생이 실종됐다면서 친형이 경찰에 신고를 했습니다. 그래서 경찰이 수색에 나섰는데, 집에서 멀리 떨어진 한강 근처에서 동생이 숨…"
70,21.07.02,"[단독] '장관상' 주란 말 안 듣자 ""키보드 던지려 했다""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006378096"",""링크"")",해양수산부의 한 산하 기관장이 직원에게 부당한 지시를 하고 폭언을 쏟아냈다는 사실이 뒤늦게 드러났습니다. 해수부가 감찰에 나섰고 해당 인사는 결…
71,21.07.02,"[단독] 세금 대신 받았는데…""팔지도 않고 싸게 임대""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006378092"",""링크"")",납세자가 현금이 아닌 부동산 같은 현물로 세금을 납부하는 것을 '물납'이라고 합니다. 이런 물납 부동산 가운데 규제지역에 있는 것이 200건을 …
